Line Number,Source,Target
117,MA_NorthWindDB.dbo.Orders.ShipCity,MA_NorthWindDB.dbo.Orders_1996_Extract.ShipCity
117,MA_NorthWindDB.dbo.Orders.ShipRegion,MA_NorthWindDB.dbo.Orders_1996_Extract.ShipRegion
117,MA_NorthWindDB.dbo.Orders.ShipPostalCode,MA_NorthWindDB.dbo.Orders_1996_Extract.ShipPostalCode
117,MA_NorthWindDB.dbo.Orders.ShipCountry,MA_NorthWindDB.dbo.Orders_1996_Extract.ShipCountry
117,MA_NorthWindDB.dbo.Orders.ShipAddress,MA_NorthWindDB.dbo.Orders_1996_Extract.ShipAddressConcat
117,MA_NorthWindDB.dbo.Orders.ShipCity,MA_NorthWindDB.dbo.Orders_1996_Extract.ShipAddressConcat
117,MA_NorthWindDB.dbo.Orders.ShipRegion,MA_NorthWindDB.dbo.Orders_1996_Extract.ShipAddressConcat
117,MA_NorthWindDB.dbo.Orders.ShipPostalCode,MA_NorthWindDB.dbo.Orders_1996_Extract.ShipAddressConcat
117,MA_NorthWindDB.dbo.Orders.ShipCountry,MA_NorthWindDB.dbo.Orders_1996_Extract.ShipAddressConcat
145,MA_NorthWindDB.dbo.Orders.OrderID,MA_NorthWindDB.dbo.Orders_Extract.OrderID
145,MA_NorthWindDB.dbo.Orders.CustomerID,MA_NorthWindDB.dbo.Orders_Extract.CustomerID
145,MA_NorthWindDB.dbo.Orders.EmployeeID,MA_NorthWindDB.dbo.Orders_Extract.EmployeeID
145,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_Extract.OrderDate
145,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_Extract.OrderDate_Month
145,MA_NorthWindDB.dbo.Orders.RequiredDate,MMA_NorthWindDB.dbo.Orders_Extract.RequiredDate
145,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_Extract.Days_order_shipment
145,MA_NorthWindDB.dbo.Orders.ShippedDate,MA_NorthWindDB.dbo.Orders_Extract.Days_order_shipment
145,MA_NorthWindDB.dbo.Orders.ShippedDate,MA_NorthWindDB.dbo.Orders_Extract.ShippedDate
145,MA_NorthWindDB.dbo.Orders.ShipVia,MA_NorthWindDB.dbo.Orders_Extract.ShipVia
145,MA_NorthWindDB.dbo.Orders.Freight,MA_NorthWindDB.dbo.Orders_Extract.Freight
145,MA_NorthWindDB.dbo.Orders.ShipName,MA_NorthWindDB.dbo.Orders_Extract.ShipName
145,MA_NorthWindDB.dbo.Orders.ShipAddress,MA_NorthWindDB.dbo.Orders_Extract.ShipAddress
145,MA_NorthWindDB.dbo.Orders.ShipCity,MA_NorthWindDB.dbo.Orders_Extract.ShipCity
145,MA_NorthWindDB.dbo.Orders.ShipRegion,MA_NorthWindDB.dbo.Orders_Extract.ShipRegion
145,MA_NorthWindDB.dbo.Orders.ShipPostalCode,MA_NorthWindDB.dbo.Orders_Extract.ShipPostalCode
145,MA_NorthWindDB.dbo.Orders.ShipCountry,MA_NorthWindDB.dbo.Orders_Extract.ShipCountry
145,MA_NorthWindDB.dbo.Orders.ShipAddress,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
145,MA_NorthWindDB.dbo.Orders.ShipCity,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
145,MA_NorthWindDB.dbo.Orders.ShipRegion,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
145,MA_NorthWindDB.dbo.Orders.ShipPostalCode,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
145,MA_NorthWindDB.dbo.Orders.ShipCountry,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
173,MA_NorthWindDB.dbo.Orders.OrderID,MA_NorthWindDB.dbo.Orders_1997_Extract.OrderID
173,MA_NorthWindDB.dbo.Orders.CustomerID,MA_NorthWindDB.dbo.Orders_1997_Extract.CustomerID
173,MA_NorthWindDB.dbo.Orders.EmployeeID,MA_NorthWindDB.dbo.Orders_1997_Extract.EmployeeID
173,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_1997_Extract.OrderDate
173,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_1997_Extract.OrderDate_Month
173,MA_NorthWindDB.dbo.Orders.RequiredDate,MA_NorthWindDB.dbo.Orders_1997_Extract.RequiredDate
173,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_1997_Extract.Days_order_shipment
173,MA_NorthWindDB.dbo.Orders.ShippedDate,MA_NorthWindDB.dbo.Orders_1997_Extract.Days_order_shipment
173,MA_NorthWindDB.dbo.Orders.ShippedDate,MA_NorthWindDB.dbo.Orders_1997_Extract.ShippedDate
173,MA_NorthWindDB.dbo.Orders.ShipVia,MA_NorthWindDB.dbo.Orders_1997_Extract.ShipVia
173,MA_NorthWindDB.dbo.Orders.Freight,MA_NorthWindDB.dbo.Orders_1997_Extract.Freight
173,MA_NorthWindDB.dbo.Orders.ShipName,MA_NorthWindDB.dbo.Orders_1997_Extract.ShipName
173,MA_NorthWindDB.dbo.Orders.ShipAddress,MA_NorthWindDB.dbo.Orders_1997_Extract.ShipAddress
173,MA_NorthWindDB.dbo.Orders.ShipCity,MA_NorthWindDB.dbo.Orders_1997_Extract.ShipCity
173,MA_NorthWindDB.dbo.Orders.ShipRegion,MA_NorthWindDB.dbo.Orders_1997_Extract.ShipRegion
173,MA_NorthWindDB.dbo.Orders.ShipPostalCode,MA_NorthWindDB.dbo.Orders_1997_Extract.ShipPostalCode
173,MA_NorthWindDB.dbo.Orders.ShipCountry,MA_NorthWindDB.dbo.Orders_1997_Extract.ShipCountry
173,MA_NorthWindDB.dbo.Orders.ShipAddress,MA_NorthWindDB.dbo.Orders_1997_Extract.ShipAddressConcat
173,MA_NorthWindDB.dbo.Orders.ShipCity,MA_NorthWindDB.dbo.Orders_1997_Extract.ShipAddressConcat
173,MA_NorthWindDB.dbo.Orders.ShipRegion,MA_NorthWindDB.dbo.Orders_1997_Extract.ShipAddressConcat
173,MA_NorthWindDB.dbo.Orders.ShipPostalCode,MA_NorthWindDB.dbo.Orders_1997_Extract.ShipAddressConcat
173,MA_NorthWindDB.dbo.Orders.ShipCountry,MA_NorthWindDB.dbo.Orders_1997_Extract.ShipAddressConcat
202,MA_NorthWindDB.dbo.Orders.OrderID,MA_NorthWindDB.dbo.Orders_Extract.OrderID
202,MA_NorthWindDB.dbo.Orders.CustomerID,MA_NorthWindDB.dbo.Orders_Extract.CustomerID
202,MA_NorthWindDB.dbo.Orders.EmployeeID,MA_NorthWindDB.dbo.Orders_Extract.EmployeeID
202,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_Extract.OrderDate
