DB|Table|Concat|ID||||||||
Rationalisatie_centralDB|Order_Details_1997_Extract.csv|Rationalisatie_centralDBOrder_Details_1997_Extract.csv|147||||||||
Rationalisatie_centralDB|Order_Details_1998_Extract.csv|Rationalisatie_centralDBOrder_Details_1998_Extract.csv|148||||||||
Rationalisatie_centralDB|Orders_1996_Extract.csv|Rationalisatie_centralDBOrders_1996_Extract.csv|149||||||||
Rationalisatie_centralDB|Orders_1997_Extract.csv|Rationalisatie_centralDBOrders_1997_Extract.csv|150||||||||
Rationalisatie_centralDB|Orders_1998_Extract.csv|Rationalisatie_centralDBOrders_1998_Extract.csv|151||||||||
Rationalisatie_centralDB|Orders_Extract.csv|Rationalisatie_centralDBOrders_Extract.csv|152||||||||
Rationalisatie_centralDB|Products_Extract.csv|Rationalisatie_centralDBProducts_Extract.csv|153||||||||
Rationalisatie_centralDB|Region_Extract.csv|Rationalisatie_centralDBRegion_Extract.csv|154||||||||
Rationalisatie_centralDB|Shippers_Extract.csv|Rationalisatie_centralDBShippers_Extract.csv|155||||||||
Rationalisatie_centralDB|Suppliers_Extract.csv|Rationalisatie_centralDBSuppliers_Extract.csv|156||||||||
Rationalisatie_centralDB|Territories_Extract.csv|Rationalisatie_centralDBTerritories_Extract.csv|157||||||||
Rationalisatie_centralDB|DIM_Supplier|Rationalisatie_centralDBDIM_Supplier|158||||||||
Rationalisatie_centralDB|DIM_Product|Rationalisatie_centralDBDIM_Product|159||||||||
Rationalisatie_centralDB|DIM_Customer|Rationalisatie_centralDBDIM_Customer|160||||||||
Rationalisatie_centralDB|DIM_Employee|Rationalisatie_centralDBDIM_Employee|161||||||||
Rationalisatie_centralDB|FCT_Order|Rationalisatie_centralDBFCT_Order|162||||||||
Rationalisatie_centralDB|DIM_Time|Rationalisatie_centralDBDIM_Time|163||||||||
MA_DemoDB_01|[Order Details]|MA_DemoDB_01[Order Details]|164||||||||
MA_DemoDB_01|Categories|MA_DemoDB_01Categories|165||||||||
MA_DemoDB_01|Categories_Extract|MA_DemoDB_01Categories_Extract|166||||||||
MA_DemoDB_01|Customers|MA_DemoDB_01Customers|167||||||||
MA_DemoDB_01|Customers_Extract|MA_DemoDB_01Customers_Extract|168||||||||
MA_DemoDB_01|Employees|MA_DemoDB_01Employees|169||||||||
MA_DemoDB_01|Employees_Extract|MA_DemoDB_01Employees_Extract|170||||||||
